date,weather,temperature_high,temperature_low
2018年01月01日,阴/小雨,12℃,6℃
2018年01月01日,阴/小雨,12℃,6℃
2018年01月02日,阴/小雨,11℃,5℃
2018年01月03日,小雨/小雨,6℃,3℃
2018年01月04日,小雨/小雨,6℃,4℃
2018年01月05日,小雨/小雨,6℃,5℃
2018年01月06日,阴/阴,8℃,4℃
2018年01月07日,阴/小雨,6℃,2℃
2018年01月08日,多云/多云,12℃,-2℃
2018年01月09日,晴/多云,13℃,-1℃
2018年01月10日,晴/晴,13℃,1℃
2018年01月11日,晴/晴,13℃,-1℃
2018年01月12日,晴/阴,10℃,4℃
2018年01月13日,阴/多云,10℃,5℃
2018年01月14日,多云/阴,13℃,8℃
2018年01月15日,小雨/小雨,10℃,7℃
2018年01月16日,晴/晴,15℃,5℃
2018年01月17日,晴/多云,15℃,6℃
2018年01月18日,阴/小雨,10℃,7℃
2018年01月19日,阴/阴,12℃,6℃
2018年01月20日,阴/小雨,11℃,8℃
2018年01月21日,多云/多云,16℃,6℃
2018年01月22日,多云/多云,15℃,10℃
2018年01月23日,小雨/小雨,12℃,9℃
2018年01月24日,小雨/小雨,10℃,5℃
2018年01月25日,小雨/小雨,5℃,2℃
2018年01月26日,小雨/小雨,3℃,1℃
2018年01月27日,阴/阴,6℃,1℃
2018年01月28日,多云/多云,9℃,2℃
2018年01月29日,多云/阴,9℃,2℃
2018年01月30日,阴/多云,9℃,0℃
2018年01月31日,多云/多云,11℃,0℃
2018年02月01日,阴/小雨,11℃,1℃
2018年02月02日,阴/阴,8℃,4℃
2018年02月03日,小雨/小雨,10℃,2℃
2018年02月04日,小雨/阴,7℃,1℃
2018年02月05日,多云/多云,10℃,2℃
2018年02月06日,多云/小雨,10℃,3℃
2018年02月07日,小雨/阴,8℃,4℃
2018年02月08日,多云/小雨,12℃,4℃
2018年02月09日,小雨/小雨,10℃,4℃
2018年02月10日,多云/小雨,9℃,2℃
2018年02月11日,多云/阴,10℃,3℃
2018年02月12日,多云/多云,12℃,4℃
2018年02月13日,多云/多云,13℃,5℃
2018年02月14日,多云/多云,15℃,7℃
2018年02月15日,多云/晴,17℃,6℃
2018年02月16日,多云/小雨,15℃,7℃
2018年02月17日,小雨/阴,15℃,10℃
2018年02月18日,多云/阴,15℃,7℃
2018年02月19日,多云/阴,16℃,9℃
2018年02月20日,多云/小雨,15℃,8℃
2018年02月21日,小雨/小雨,11℃,7℃
2018年02月22日,阴/多云,14℃,7℃
2018年02月23日,晴/小雨,15℃,7℃
2018年02月24日,多云/多云,18℃,8℃
2018年02月25日,多云/多云,18℃,9℃
2018年02月26日,小雨/小雨,17℃,10℃
2018年02月27日,多云/多云,18℃,9℃
2018年02月28日,多云/多云,20℃,14℃
2018年03月01日,多云/多云,22℃,12℃
2018年03月02日,多云/多云,21℃,12℃
2018年03月03日,多云/小雨,22℃,14℃
2018年03月04日,阵雨/多云,18℃,10℃
2018年03月05日,小雨/小雨,14℃,11℃
2018年03月06日,小雨/小雨,13℃,8℃
2018年03月07日,多云/多云,17℃,8℃
2018年03月08日,多云/晴,21℃,9℃
2018年03月09日,晴/多云,22℃,11℃
2018年03月10日,晴/多云,22℃,11℃
2018年03月11日,阴/多云,20℃,12℃
2018年03月12日,多云/多云,22℃,13℃
2018年03月13日,阵雨/多云,24℃,12℃
2018年03月14日,多云/晴,26℃,12℃
2018年03月15日,晴/多云,27℃,14℃
2018年03月16日,中雨/中雨,22℃,14℃
2018年03月17日,小雨/小雨,16℃,13℃
2018年03月18日,小雨/小雨,15℃,12℃
2018年03月19日,多云/晴,21℃,9℃
2018年03月20日,多云/多云,21℃,11℃
2018年03月21日,多云/多云,21℃,10℃
2018年03月22日,多云/阵雨,25℃,12℃
2018年03月23日,小雨/小雨,20℃,15℃
2018年03月24日,阵雨/晴,20℃,13℃
2018年03月25日,多云/多云,22℃,14℃
2018年03月26日,多云/多云,24℃,14℃
2018年03月27日,多云/多云,23℃,14℃
2018年03月28日,多云/多云,23℃,14℃
2018年03月29日,多云/多云,23℃,15℃
2018年03月30日,小雨/小雨,24℃,16℃
2018年03月31日,小雨/小雨,19℃,14℃
2018年04月01日,多云/晴,26℃,14℃
2018年04月02日,晴/晴,30℃,14℃
2018年04月03日,晴/晴,30℃,20℃
2018年04月04日,阵雨/小雨,29℃,15℃
2018年04月05日,小雨/小雨,19℃,7℃
2018年04月06日,多云/多云,19℃,5℃
2018年04月07日,晴/多云,22℃,9℃
2018年04月08日,晴/晴,25℃,13℃
2018年04月09日,晴/多云,28℃,15℃
2018年04月10日,阴/阴,28℃,19℃
2018年04月11日,多云/小雨,28℃,20℃
2018年04月12日,小雨/小雨,26℃,15℃
2018年04月13日,小雨/阴,16℃,11℃
2018年04月14日,多云/阴,19℃,11℃
2018年04月15日,多云/多云,21℃,11℃
2018年04月16日,晴/晴,25℃,12℃
2018年04月17日,晴/多云,29℃,17℃
2018年04月18日,晴/多云,30℃,19℃
2018年04月19日,小雨/小雨,29℃,20℃
2018年04月20日,阴/多云,28℃,20℃
2018年04月21日,多云/小雨,29℃,21℃
2018年04月22日,多云/小雨,29℃,20℃
2018年04月23日,小雨/小雨,19℃,18℃
2018年04月24日,小雨/中雨,18℃,16℃
2018年04月25日,小雨/小雨,19℃,15℃
2018年04月26日,多云/多云,25℃,15℃
2018年04月27日,多云/阴,29℃,18℃
2018年04月28日,阵雨/多云,26℃,16℃
2018年04月29日,晴/多云,30℃,19℃
2018年04月30日,多云/小雨,30℃,20℃
2018年05月01日,多云/阴,29℃,20℃
2018年05月02日,多云/小雨,26℃,18℃
2018年05月03日,小雨/小雨,24℃,19℃
2018年05月04日,阴/小雨,25℃,20℃
2018年05月05日,小雨/小雨,24℃,16℃
2018年05月06日,多云/多云,27℃,15℃
2018年05月07日,多云/多云,28℃,20℃
2018年05月08日,小雨/小雨,26℃,20℃
2018年05月09日,中雨/小雨,19℃,16℃
2018年05月10日,小雨/中雨,20℃,17℃
2018年05月11日,多云/多云,25℃,17℃
2018年05月12日,多云/多云,31℃,18℃
2018年05月13日,多云/多云,31℃,20℃
2018年05月14日,晴/多云,32℃,21℃
2018年05月15日,晴/晴,34℃,22℃
2018年05月16日,多云/阵雨,35℃,24℃
2018年05月17日,小雨/小雨,31℃,22℃
2018年05月18日,阵雨/小雨,30℃,22℃
2018年05月19日,阵雨/小雨,30℃,23℃
2018年05月20日,小雨/小雨,29℃,23℃
2018年05月21日,小雨/小雨,28℃,22℃
2018年05月22日,多云/多云,28℃,18℃
2018年05月23日,多云/小雨,22℃,17℃
2018年05月24日,多云/多云,25℃,18℃
2018年05月25日,多云/小雨,28℃,18℃
2018年05月26日,阵雨/小雨,24℃,16℃
2018年05月27日,阴/多云,25℃,16℃
2018年05月28日,多云/阴,29℃,17℃
2018年05月29日,多云/阴,28℃,20℃
2018年05月30日,多云/小雨,28℃,20℃
2018年05月31日,多云/阴,26℃,18℃
2018年06月01日,阵雨/阴,25℃,21℃
2018年06月02日,多云/阴,28℃,22℃
2018年06月03日,小雨/小雨,27℃,19℃
2018年06月04日,多云/多云,28℃,19℃
2018年06月05日,晴/晴,31℃,19℃
2018年06月06日,晴/晴,33℃,20℃
2018年06月07日,多云/小雨,34℃,19℃
2018年06月08日,阵雨/晴,27℃,17℃
2018年06月09日,多云/阵雨,30℃,19℃
2018年06月10日,晴/多云,32℃,20℃
2018年06月11日,中雨/小雨,25℃,20℃
2018年06月12日,多云/多云,29℃,21℃
2018年06月13日,多云/多云,29℃,22℃
2018年06月14日,阴/阴,30℃,22℃
2018年06月15日,阴/小雨,27℃,22℃
2018年06月16日,小雨/中雨,24℃,18℃
2018年06月17日,小雨/大雨,26℃,21℃
2018年06月18日,多云/多云,29℃,22℃
2018年06月19日,多云/小雨,31℃,23℃
2018年06月20日,阵雨/小雨,31℃,23℃
2018年06月21日,小雨/小雨,29℃,24℃
2018年06月22日,阵雨/小雨,29℃,24℃
2018年06月23日,阵雨/中雨,30℃,24℃
2018年06月24日,中雨/小雨,29℃,25℃
2018年06月25日,阴/阴,31℃,25℃
2018年06月26日,阵雨/小雨,33℃,26℃
2018年06月27日,小雨/阴,33℃,26℃
2018年06月28日,阵雨/小雨,33℃,26℃
2018年06月29日,小雨/中雨,32℃,26℃
2018年06月30日,小雨/中雨,31℃,25℃
2018年07月01日,中雨/中雨,32℃,25℃
2018年07月02日,小雨/大雨,33℃,24℃
2018年07月03日,大雨/中雨,27℃,23℃
2018年07月04日,小雨/小雨,30℃,24℃
2018年07月05日,阴/小雨,31℃,22℃
2018年07月06日,小雨/小雨,30℃,24℃
2018年07月07日,阵雨/小雨,32℃,23℃
2018年07月08日,小雨/中雨,30℃,23℃
2018年07月09日,中雨/中雨,27℃,24℃
2018年07月10日,小雨/小雨,33℃,25℃
2018年07月11日,小雨/阴,34℃,25℃
2018年07月12日,多云/阴,33℃,24℃
2018年07月13日,多云/小雨,33℃,24℃
2018年07月14日,阵雨/阵雨,34℃,25℃
2018年07月15日,雷阵雨/晴,36℃,26℃
2018年07月16日,多云/阴,36℃,26℃
2018年07月17日,多云/多云,35℃,26℃
2018年07月18日,多云/多云,37℃,26℃
2018年07月19日,多云/多云,37℃,27℃
2018年07月20日,多云/多云,39℃,27℃
2018年07月21日,雷阵雨/阵雨,39℃,26℃
2018年07月22日,晴/晴,39℃,27℃
2018年07月23日,多云/多云,38℃,27℃
2018年07月24日,多云/多云,37℃,26℃
2018年07月25日,中雨/阵雨,35℃,24℃
2018年07月26日,小雨/小雨,34℃,26℃
2018年07月27日,雷阵雨/小雨,35℃,26℃
2018年07月28日,阵雨/阵雨,35℃,26℃
2018年07月29日,雷阵雨/中雨,35℃,26℃
2018年07月30日,中雨/中雨,32℃,24℃
2018年07月31日,小雨/中雨,33℃,25℃
2018年08月01日,阵雨/中雨,33℃,25℃
2018年08月02日,雷阵雨/阵雨,33℃,25℃
2018年08月03日,阵雨/小雨,35℃,25℃
2018年08月04日,雷阵雨/阵雨,33℃,25℃
2018年08月05日,多云/阴,35℃,25℃
2018年08月06日,雷阵雨/阵雨,33℃,25℃
2018年08月07日,阵雨/小雨,34℃,24℃
2018年08月08日,阵雨/小雨,32℃,24℃
2018年08月09日,阵雨/阵雨,34℃,25℃
2018年08月10日,阵雨/小雨,35℃,24℃
2018年08月11日,阵雨/阵雨,34℃,24℃
2018年08月12日,雷阵雨/阵雨,34℃,25℃
2018年08月13日,晴/多云,34℃,24℃
2018年08月14日,多云/多云,36℃,26℃
2018年08月15日,晴/阵雨,35℃,26℃
2018年08月16日,阵雨/多云,34℃,24℃
2018年08月17日,多云/多云,35℃,23℃
2018年08月18日,晴/晴,34℃,24℃
2018年08月19日,多云/晴,36℃,25℃
2018年08月20日,晴/多云,37℃,26℃
2018年08月21日,阵雨/小雨,35℃,24℃
2018年08月22日,多云/多云,33℃,22℃
2018年08月23日,多云/多云,35℃,23℃
2018年08月24日,多云/多云,35℃,24℃
2018年08月25日,晴/多云,36℃,24℃
2018年08月26日,晴/晴,36℃,23℃
2018年08月27日,晴/晴,36℃,25℃
2018年08月28日,多云/多云,36℃,26℃
2018年08月29日,多云/多云,36℃,26℃
2018年08月30日,多云/小雨,35℃,25℃
2018年08月31日,阵雨/小雨,34℃,25℃
2018年09月01日,晴/晴,35℃,25℃
2018年09月02日,晴/晴,36℃,26℃
2018年09月03日,晴/晴,32℃,25℃
2018年09月04日,多云/小雨,34℃,26℃
2018年09月05日,雷阵雨/中雨,32℃,21℃
2018年09月06日,小雨/阴,24℃,19℃
2018年09月07日,多云/多云,25℃,18℃
2018年09月08日,多云/阴,27℃,18℃
2018年09月09日,阵雨/阴,25℃,18℃
2018年09月10日,阴/小雨,23℃,17℃
2018年09月11日,小雨/小雨,20℃,18℃
2018年09月12日,阵雨/小雨,22℃,18℃
2018年09月13日,小雨/小雨,22℃,18℃
2018年09月14日,小雨/小雨,22℃,19℃
2018年09月15日,小雨/小雨,23℃,19℃
2018年09月16日,多云/阴,23℃,19℃
2018年09月17日,小雨/中雨,24℃,19℃
2018年09月18日,小雨/阴,25℃,20℃
2018年09月19日,多云/中雨,28℃,21℃
2018年09月20日,小雨/小雨,27℃,19℃
2018年09月21日,多云/小雨,26℃,20℃
2018年09月22日,阵雨/阴,26℃,20℃
2018年09月23日,小雨/大雨,28℃,20℃
2018年09月24日,中雨/小雨,22℃,18℃
2018年09月25日,小雨/小雨,21℃,18℃
2018年09月26日,小雨/小雨,19℃,17℃
2018年09月27日,小雨/小雨,18℃,16℃
2018年09月28日,晴/晴,24℃,16℃
2018年09月29日,多云/小雨,25℃,17℃
2018年09月30日,小雨/小雨,24℃,16℃
2018年10月01日,晴/小雨,20℃,15℃
2018年10月02日,小雨/中雨,17℃,15℃
2018年10月03日,小雨/晴,18℃,15℃
2018年10月04日,小雨/晴,22℃,15℃
2018年10月05日,阴/小雨,22℃,16℃
2018年10月06日,小雨/小雨,19℃,16℃
2018年10月07日,小雨/小雨,18℃,15℃
2018年10月08日,小雨/小雨,18℃,14℃
2018年10月09日,多云/多云,22℃,12℃
2018年10月10日,晴/多云,24℃,13℃
2018年10月11日,小雨/小雨,21℃,15℃
2018年10月12日,阴/小雨,20℃,14℃
2018年10月13日,小雨/小雨,16℃,13℃
2018年10月14日,阴/小雨,18℃,13℃
2018年10月15日,多云/阴,21℃,14℃
2018年10月16日,阵雨/多云,21℃,14℃
2018年10月17日,小雨/小雨,22℃,14℃
2018年10月18日,小雨/小雨,18℃,14℃
2018年10月19日,小雨/小雨,15℃,14℃
2018年10月20日,阵雨/阴,16℃,14℃
2018年10月21日,多云/小雨,19℃,14℃
2018年10月22日,小雨/小雨,20℃,14℃
2018年10月23日,阴/小雨,18℃,14℃
2018年10月24日,小雨/小雨,18℃,14℃
2018年10月25日,多云/多云,21℃,13℃
2018年10月26日,多云/小雨,22℃,15℃
2018年10月27日,晴/晴,19℃,13℃
2018年10月28日,多云/多云,22℃,14℃
2018年10月29日,阴/阴,22℃,14℃
2018年10月30日,多云/晴,25℃,11℃
2018年10月31日,晴/晴,25℃,12℃
2018年11月01日,晴/晴,24℃,11℃
2018年11月02日,晴/晴,24℃,11℃
2018年11月03日,晴/阴,23℃,12℃
2018年11月04日,小雨/小雨,19℃,12℃
2018年11月05日,小雨/小雨,12℃,9℃
2018年11月06日,阴/小雨,14℃,9℃
2018年11月07日,阵雨/多云,11℃,6℃
2018年11月08日,多云/多云,16℃,7℃
2018年11月09日,晴/晴,15℃,10℃
2018年11月10日,多云/小雨,16℃,11℃
2018年11月11日,阵雨/阴,17℃,11℃
2018年11月12日,多云/晴,17℃,10℃
2018年11月13日,晴/小雨,17℃,11℃
2018年11月14日,小雨/小雨,15℃,12℃
2018年11月15日,小雨/小雨,14℃,10℃
2018年11月16日,小雨/小雨,10℃,8℃
2018年11月17日,小雨/小雨,9℃,6℃
2018年11月18日,多云/多云,12℃,5℃
2018年11月19日,多云/晴,12℃,6℃
2018年11月20日,阴/多云,13℃,7℃
2018年11月21日,多云/多云,14℃,5℃
2018年11月22日,晴/晴,13℃,4℃
2018年11月23日,多云/小雨,15℃,6℃
2018年11月24日,晴/多云,14℃,5℃
2018年11月25日,多云/晴,16℃,5℃
2018年11月26日,多云/小雨,15℃,5℃
2018年11月27日,阵雨/多云,14℃,8℃
2018年11月28日,阴/晴,15℃,8℃
2018年11月29日,多云/晴,14℃,9℃
2018年11月30日,多云/小雨,14℃,10℃
2018年12月01日,阴/小雨,15℃,10℃
2018年12月02日,阴/小雨,16℃,10℃
2018年12月03日,晴/多云,14℃,9℃
2018年12月04日,阴/小雨,14℃,9℃
2018年12月05日,小雨/小雨,12℃,8℃
2018年12月06日,小雨/小雨,9℃,5℃
2018年12月07日,小雨/小雨,6℃,3℃
2018年12月08日,小雨/小雨,5℃,3℃
2018年12月09日,多云/多云,6℃,4℃
2018年12月10日,阴/多云,8℃,4℃
2018年12月11日,晴/晴,9℃,2℃
2018年12月12日,晴/多云,9℃,1℃
2018年12月13日,阴/阴,9℃,4℃
2018年12月14日,阴/阴,9℃,5℃
2018年12月15日,多云/多云,10℃,3℃
2018年12月16日,晴/晴,14℃,2℃
2018年12月17日,晴/多云,14℃,2℃
2018年12月18日,晴/小雨,11℃,2℃
2018年12月19日,小雨/阴,9℃,5℃
2018年12月20日,阴/小雨,12℃,6℃
2018年12月21日,多云/小雨,11℃,6℃
2018年12月22日,阴/阴,12℃,7℃
2018年12月23日,阴/小雨,11℃,7℃
2018年12月24日,小雨/小雨,9℃,6℃
2018年12月25日,小雨/小雨,9℃,6℃
2018年12月26日,多云/小雨,10℃,6℃
2018年12月27日,小雨/小雨,8℃,4℃
2018年12月28日,小雨/小雨,4℃,1℃
